chapter,div_no,div_name,code,descrip,nchs113,nchsti,type
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),006,Amoebiasis,006.1,Chronic intestinal amoebiasis without mention of abscess,2,Shigellosis and amebiasis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),006,Amoebiasis,006.2,Amoebic nondysenteric colitis,2,Shigellosis and amebiasis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),006,Amoebiasis,006.3,Amoebic liver abscess,2,Shigellosis and amebiasis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),006,Amoebiasis,006.4,Amoebic lung abscess,2,Shigellosis and amebiasis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),006,Amoebiasis,006.5,Amoebic brain abscess,2,Shigellosis and amebiasis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),006,Amoebiasis,006.6,Amoebic skin ulceration,2,Shigellosis and amebiasis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),006,Amoebiasis,006.8,Amoebic infection of other sites,2,Shigellosis and amebiasis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),006,Amoebiasis,006.9,"Amoebiasis, unspecified",2,Shigellosis and amebiasis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),007,Other protozoal intestinal diseases,007.0,Balantidiasis,3,Certain other intestinal infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),007,Other protozoal intestinal diseases,007.1,Giardiasis,3,Certain other intestinal infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),007,Other protozoal intestinal diseases,007.2,Coccidiosis,3,Certain other intestinal infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),007,Other protozoal intestinal diseases,007.3,Intestinal trichomoniasis,3,Certain other intestinal infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),007,Other protozoal intestinal diseases,007.8,Other protozoal intestinal diseases,3,Certain other intestinal infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),007,Other protozoal intestinal diseases,007.9,Unspecified,3,Certain other intestinal infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),008,Intestinal infections due to other organisms,008.0,Escherichia coli [E. coli],3,Certain other intestinal infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),008,Intestinal infections due to other organisms,008.1,Arizona,3,Certain other intestinal infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),008,Intestinal infections due to other organisms,008.2,Aerobacter aerogenes,3,Certain other intestinal infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),008,Intestinal infections due to other organisms,008.3,Proteus (mirabilis) (morganii),3,Certain other intestinal infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),008,Intestinal infections due to other organisms,008.4,Other specified bacteria,3,Certain other intestinal infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),008,Intestinal infections due to other organisms,008.5,"Bacterial enteritis, unspecified",3,Certain other intestinal infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),008,Intestinal infections due to other organisms,008.6,Enteritis due to specified virus,3,Certain other intestinal infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),008,Intestinal infections due to other organisms,008.8,"Other organism, not elsewhere classified",3,Certain other intestinal infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),009,Ill-defined intestinal infections,009.0,"Infectious colitis, enteritis, and gastroenteritis",3,Certain other intestinal infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),009,Ill-defined intestinal infections,009.2,Infectious diarrhea,3,Certain other intestinal infections,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),010,Primary tuberculous infection,010.0,Primary tuberculous complex,4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),010,Primary tuberculous infection,010.1,Tuberculous pleurisy in primary progressive tuberculosis,4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),010,Primary tuberculous infection,010.8,Other primary progressive tuberculosis,4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),010,Primary tuberculous infection,010.9,Unspecified,4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),011,Pulmonary tuberculosis,011.0,"Tuberculosis of lung, infiltrative",4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),011,Pulmonary tuberculosis,011.1,"Tuberculosis of lung, nodular",4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),011,Pulmonary tuberculosis,011.2,Tuberculosis of lung with cavitation,4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),011,Pulmonary tuberculosis,011.3,Tuberculosis of bronchus,4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),011,Pulmonary tuberculosis,011.4,Tuberculous fibrosis of lung,4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),011,Pulmonary tuberculosis,011.5,Tuberculous bronchiectasis,4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),011,Pulmonary tuberculosis,011.6,Tuberculous pneumonia [any form],4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),011,Pulmonary tuberculosis,011.7,Tuberculous pneumothorax,4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),011,Pulmonary tuberculosis,011.8,Other pulmonary tuberculosis,4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),011,Pulmonary tuberculosis,011.9,Unspecified,4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),012,Other respiratory tuberculosis,012.0,Tuberculous pleurisy,4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),012,Other respiratory tuberculosis,012.1,Tuberculosis of intrathoracic lymph nodes,4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),012,Other respiratory tuberculosis,012.2,Isolated tracheal or bronchial tuberculosis,4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),012,Other respiratory tuberculosis,012.3,Tuberculous laryngitis,4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),012,Other respiratory tuberculosis,012.8,Other,4,Respiratory tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),013,Tuberculosis of meninges and central nervous system,013.0,Tuberculous meningitis,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),013,Tuberculosis of meninges and central nervous system,013.1,Tuberculoma of meninges,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),013,Tuberculosis of meninges and central nervous system,013.8,Other,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),013,Tuberculosis of meninges and central nervous system,013.9,Unspecified,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),015,Tuberculosis of bones and joints,015.0,Vertebral column,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),015,Tuberculosis of bones and joints,015.1,Hip,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),015,Tuberculosis of bones and joints,015.2,Knee,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),015,Tuberculosis of bones and joints,015.7,Other bone,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),015,Tuberculosis of bones and joints,015.8,Other joint,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),015,Tuberculosis of bones and joints,015.9,Unspecified,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),016,Tuberculosis of genitourinary system,016.0,Kidney,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),016,Tuberculosis of genitourinary system,016.1,Other urinary organs,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),016,Tuberculosis of genitourinary system,016.2,Epididymis,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),016,Tuberculosis of genitourinary system,016.3,Other male genital organs,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),016,Tuberculosis of genitourinary system,016.4,Female genital organs,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),016,Tuberculosis of genitourinary system,016.9,Unspecified,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),017,Tuberculosis of other organs,017.0,Skin and subcutaneous cellular tissue,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),017,Tuberculosis of other organs,017.1,Erythema nodosum with hypersensitivity reaction in tuberculosis,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),017,Tuberculosis of other organs,017.2,Peripheral lymph nodes,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),017,Tuberculosis of other organs,017.3,Eye,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),017,Tuberculosis of other organs,017.4,Ear,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),017,Tuberculosis of other organs,017.5,Thyroid gland,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),017,Tuberculosis of other organs,017.6,Adrenal glands,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),017,Tuberculosis of other organs,017.7,Spleen,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),017,Tuberculosis of other organs,017.8,Other,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),018,Miliary tuberculosis,018.0,Acute,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),018,Miliary tuberculosis,018.8,Other,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),018,Miliary tuberculosis,018.9,Unspecified,5,Other tuberculosis,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),020,Plague,020.0,Bubonic,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),020,Plague,020.1,Cellulocutaneous,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),020,Plague,020.2,Septicaemic,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),020,Plague,020.3,Primary pneumonic,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),020,Plague,020.4,Secondary pneumonic,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),020,Plague,020.5,"Pneumonic, unspecified",17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),020,Plague,020.8,Other,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),020,Plague,020.9,Unspecified,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),022,Anthrax,022.0,Cutaneous anthrax,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),022,Anthrax,022.1,Pulmonary anthrax,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),022,Anthrax,022.2,Gastrointestinal anthrax,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),022,Anthrax,022.3,Anthrax septicaemia,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),022,Anthrax,022.8,Other manifestations,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),022,Anthrax,022.9,Unspecified,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),023,Brucellosis,023.0,Brucella melitensis,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),023,Brucellosis,023.1,Brucella abortus,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),023,Brucellosis,023.2,Brucella suis,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),023,Brucellosis,023.3,Brucella canis,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),023,Brucellosis,023.8,Other,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),023,Brucellosis,023.9,Unspecified,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),026,Rat-bite fever,026.0,Spirillary fever,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),026,Rat-bite fever,026.1,Streptobacillary fever,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),026,Rat-bite fever,026.9,Unspecified,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),027,Other zoonotic bacterial diseases,027.0,Listeriosis,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),027,Other zoonotic bacterial diseases,027.1,Erysipelothrix infection,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),027,Other zoonotic bacterial diseases,027.2,Pasteurellosis,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),027,Other zoonotic bacterial diseases,027.8,Other,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),027,Other zoonotic bacterial diseases,027.9,Unspecified,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),030,Leprosy,030.0,Lepromatous [type L],17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),030,Leprosy,030.1,Tuberculoid [type T],17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),030,Leprosy,030.2,Indeterminate [group I],17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),030,Leprosy,030.3,Borderline [group B],17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),030,Leprosy,030.8,Other,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),030,Leprosy,030.9,Unspecified,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),031,Diseases due to other mycobacteria,031.0,Pulmonary,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),031,Diseases due to other mycobacteria,031.1,Cutaneous,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),031,Diseases due to other mycobacteria,031.8,Other,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),031,Diseases due to other mycobacteria,031.9,Unspecified,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),032,Diphtheria,032.0,Faucial diphtheria,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),032,Diphtheria,032.1,Nasopharyngeal diphtheria,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),032,Diphtheria,032.2,Anterior nasal diphtheria,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),032,Diphtheria,032.3,Laryngeal diphtheria,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),032,Diphtheria,032.8,Other,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),032,Diphtheria,032.9,"Diphtheria, unspecified",17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),033,Whooping cough,033.0,Bordetella pertussis [B. pertussis],6,Whooping cough,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),033,Whooping cough,033.1,Bordetella parapertussis [B. parapertussis],6,Whooping cough,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),033,Whooping cough,033.8,Other specified organism,6,Whooping cough,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),033,Whooping cough,033.9,"Whooping cough, unspecified organism",6,Whooping cough,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),034,Streptococcal sore throat and scarlatina,034.0,Streptococcal sore throat
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),034,Streptococcal sore throat and scarlatina,034.1,Scarlatina
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),036,Meningococcal infection,036.0,Meningococcal meningitis,8,Meningococcal infection,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),036,Meningococcal infection,036.1,Meningococcal encephalitis,8,Meningococcal infection,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),036,Meningococcal infection,036.2,Meningococcaemia,8,Meningococcal infection,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),036,Meningococcal infection,036.3,"Waterhouse-Friderichsen syndrome, meningococcal",8,Meningococcal infection,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),036,Meningococcal infection,036.4,Meningococcal carditis,8,Meningococcal infection,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),036,Meningococcal infection,036.8,Other,8,Meningococcal infection,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),036,Meningococcal infection,036.9,Unspecified,8,Meningococcal infection,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),038,Septicaemia,038.0,Streptococcal septicaemia,9,Septicemia,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),038,Septicaemia,038.1,Staphylococcal septicaemia,9,Septicemia,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),038,Septicaemia,038.2,Pneumococcal septicaemia,9,Septicemia,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),038,Septicaemia,038.3,Septicaemia due to anaerobes,9,Septicemia,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),038,Septicaemia,038.4,Septicaemia due to other gram-negative organisms,9,Septicemia,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),038,Septicaemia,038.8,Other specified septicaemias,9,Septicemia,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),038,Septicaemia,038.9,Unspecified septicaemia,9,Septicemia,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),039,Actinomycotic infections,039.0,Cutaneous,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),039,Actinomycotic infections,039.1,Pulmonary,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),039,Actinomycotic infections,039.2,Abdominal,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),039,Actinomycotic infections,039.3,Cervicofacial,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),039,Actinomycotic infections,039.4,Madura foot,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),039,Actinomycotic infections,039.8,Of other specified sites,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),039,Actinomycotic infections,039.9,Of unspecified site,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),040,Other bacterial diseases,040.0,Gas gangrene,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),040,Other bacterial diseases,040.1,Rhinoscleroma,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),040,Other bacterial diseases,040.2,Whipple's disease,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),040,Other bacterial diseases,040.3,Necrobacillosis,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),040,Other bacterial diseases,040.8,Other bacterial diseases,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),041,Bacterial infection in conditions classified elsewhere and of,041.0,Streptococcus,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),041,Bacterial infection in conditions classified elsewhere and of,041.1,Staphylococcus,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),041,Bacterial infection in conditions classified elsewhere and of,041.2,Pneumococcus,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),041,Bacterial infection in conditions classified elsewhere and of,041.3,Friedlander's bacillus,17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
I.  INFECTIOUS AND PARASITIC DISEASES (001-139),041,Bacterial infection in conditions classified elsewhere and of,041.4,Escherichia coli [E.coli],17,Other and unspecified infectious and parasitic diseases and their sequelae,Acute
