chapter,div_nos,div_name,code,descrip,year_add,year_del,mc_only
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07.9,"""Protozoal intestinal disease, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08.0,Rotaviral enteritis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08.1,Acute gastroenteropathy due to Norwalk agent,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08.2,Adenoviral enteritis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08.3,Other viral enteritis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08.4,"""Viral intestinal infection, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08.5,Other specified intestinal infections,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,2009,0,0
A00-B99	I. Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A09.9,Gastroenteritis and colitis of unspecified origin,2009,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A16.2,"""Tuberculosis of lung, without mention of bacteriological or histological confirmation""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A16.3,"""Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A16.4,"""Tuberculosis of larynx, trachea, and bronchus, without mention of bacteriological or histological confirmation""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A16.5,"""Tuberculous pleurisy, without mention of bacteriological or histological confirmation""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A16.8,"""Other respiratory tuberculosis, without mention of bacteriological or histological confirmation""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A16.9,"""Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A17.0,Tuberculous meningitis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A17.1,Meningeal tuberculoma,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A17.8,Other tuberculosis of nervous system,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A17.9,"""Tuberculosis of nervous system, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A18.0,Tuberculosis of bones and joints,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A18.1,Tuberculosis of genitourinary system,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A18.2,Tuberculous peripheral lymphadenopathy,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A18.3,"""Tuberculosis of intestines, peritoneum, and mesenteric glands""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A18.4,Tuberculosis of skin and subcutaneous tissue,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A18.5,Tuberculosis of eye,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A18.6,Tuberculosis of ear,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A18.7,Tuberculosis of adrenal glands,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A18.8,Tuberculosis of other specified organs,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A19.0,Acute miliary tuberculosis of a single specified site,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A19.1,Acute miliary tuberculosis of multiple sites,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A19.2,"""Acute miliary tuberculosis, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A19.8,Other miliary tuberculosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A16-A19,Tuberculosis,A19.9,"""Miliary tuberculosis, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20.0,Bubonic plague,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20.1,Cellulocutaneous plague,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20.2,Pneumonic plague,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20.3,Plague meningitis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20.7,Septicemic plague,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20.8,Other forms of plague,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20.9,"""Plague, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21.0,Ulceroglandular tularemia,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21.1,Oculoglandular tularemia,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21.2,Pulmonary tularemia,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21.3,Gastrointestinal tularemia,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21.7,Generalized tularemia,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21.8,Other forms of tularemia,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21.9,"""Tularemia, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22.0,Cutaneous anthrax,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22.1,Pulmonary anthrax,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22.2,Gastrointestinal anthrax,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22.7,Anthrax septicemia,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22.8,Other forms of anthrax,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22.9,"""Anthrax, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23.0,Brucellosis due to Brucella melitensis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23.1,Brucellosis due to Brucella abortus,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23.2,Brucellosis due to Brucella suis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23.3,Brucellosis due to Brucella canis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23.8,Other brucellosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23.9,"""Brucellosis, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A24.0,Glanders,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A24.1,Acute and fulminating melioidosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A24.2,Subacute and chronic melioidosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A24.3,Other melioidosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A24.4,"""Melioidosis, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A25.0,Spirillosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A25.1,Streptobacillosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A25.9,"""Rat-bite fever, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A26.0,Cutaneous erysipeloid,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A26.7,Erysipelothrix septicemia,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A26.8,Other forms of erysipeloid,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A26.9,"""Erysipeloid, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A27.0,Leptospirosis icterohemorrhagica,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A27.8,Other forms of leptospirosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A27.9,"""Leptospirosis, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A28.0,Pasteurellosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A28.1,Cat-scratch disease,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A28.2,Extraintestinal yersiniosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A28.8,"""Other specified zoonotic bacterial diseases, not elsewhere classified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A28.9,"""Zoonotic bacterial disease, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30.0,Indeterminate leprosy,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30.1,Tuberculoid leprosy,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30.2,Borderline tuberculoid leprosy,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30.3,Borderline leprosy,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30.4,Borderline lepromatous leprosy,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30.5,Lepromatous leprosy,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30.8,Other forms of leprosy,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30.9,"""Leprosy, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A31.0,Pulmonary mycobacterial infection,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A31.1,Cutaneous mycobacterial infection,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A31.8,Other mycobacterial infections,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A31.9,"""Mycobacterial infection, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A32.0,Cutaneous listeriosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A32.1,Listerial meningitis and meningoencephalitis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A32.7,Listerial septicemia,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A32.8,Other forms of listeriosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A32.9,"""Listeriosis, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36.0,Pharyngeal diphtheria,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36.1,Nasopharyngeal diphtheria,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36.2,Laryngeal diphtheria,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36.3,Cutaneous diphtheria,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36.8,Other diphtheria,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36.9,"""Diphtheria, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A37.0,Whooping cough due to Bordetella pertussis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A37.1,Whooping cough due to Bordetella parapertussis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A37.8,Whooping cough due to other Bordetella species,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A37.9,"""Whooping cough, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39.0,Meningococcal meningitis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39.1,Waterhouse-Friderichsen syndrome,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39.2,Acute meningococcemia,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39.3,Chronic meningococcemia,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39.4,"""Meningococcemia, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39.5,Meningococcal heart disease,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39.8,Other meningococcal infections,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39.9,"""Meningococcal infection, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40.0,"""Septicemia due to streptococcus, group A""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40.1,"""Septicemia due to streptococcus, group B""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40.2,"""Septicemia due to streptococcus, group D""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40.3,Septicemia due to Streptococcus pneumoniae,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40.8,Other streptococcal septicemia,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40.9,"""Streptococcal septicemia, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41.0,Septicemia due to Staphylococcus aureus,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41.1,Septicemia due to other specified staphylococcus,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41.2,Septicemia due to unspecified staphylococcus,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41.3,Septicemia due to Hemophilus influenzae,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41.4,Septicemia due to anaerobes,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41.5,Septicemia due to other Gram?negative organisms,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41.8,Other specified septicemia,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41.9,"""Septicemia, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42.0,Pulmonary actinomycosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42.1,Abdominal actinomycosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42.2,Cervicofacial actinomycosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42.7,Actinomycotic septicemia,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42.8,Other forms of actinomycosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42.9,"""Actinomycosis, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A43.0,Pulmonary nocardiosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A43.1,Cutaneous nocardiosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A43.8,Other forms of nocardiosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A43.9,"""Nocardiosis, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A44.0,Systemic bartonellosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A44.1,Cutaneous and mucocutaneous bartonellosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A44.8,Other forms of bartonellosis,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A44.9,"""Bartonellosis, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A48.0,Gas gangrene,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A48.1,Legionnaires' disease,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A48.2,Nonpneumonic Legionnaires' disease [Pontiac fever],1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A48.3,Toxic shock syndrome,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A48.4,Brazilian purpuric fever,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A48.8,Other specified bacterial diseases,1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A49.0,"""Staphylococcal infection, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A49.1,"""Streptococcal infection, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A49.2,"""Hemophilus influenzae infection, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A49.3,"""Mycoplasma infection, unspecified""",1999,0,0
A00-B99	I. Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A49.8,Other bacterial infections of unspecified site,1999,0,0
